Date,S1,weather_code_SBC,Temperature_SBC,Wind_Speed_SBC,Distance_travelled_SBC,S2,weather_code_BNC,Temperature_BNC,Wind_Speed_BNC,Distance_travelled_BNC,S3,weather_code_DPJ,Temperature_DPJ,Wind_Speed_DPJ,Distance_travelled_DPJ,S4,weather_code_SA,Temperature_SA,Wind_Speed_SA,Distance_travelled_SA,S5,weather_code_SGE,Temperature_SGE,Wind_Speed_SGE,Distance_travelled_SGE,S6,weather_code_TUP,Temperature_TUP,Wind_Speed_TUP,Distance_travelled_TUP,S7,weather_code_CBE,Temperature_CBE,Wind_Speed_CBE,Distance_travelled_CBE,S8,weather_code_TCR,Temperature_TCR,Wind_Speed_TCR,Distance_travelled_TCR,S9,weather_code_AWY,Temperature_AWY,Wind_Speed_AWY,Distance_travelled_AWY,S10,weather_code_ERS,Temperature_ERS,Wind_Speed_ERS,Distance_travelled_ERS,S11,weather_code_ED,Temperature_ED,Wind_Speed_ED,Distance_travelled_ED,S12,weather_code_HSRA,Temperature_HSRA,Wind_Speed_HSRA,Distance_travelled_HSRA,S13,weather_code_CRLM,Temperature_CRLM,Wind_Speed_CRLM,Distance_travelled_CRLM,S14,weather_code_LJN,Temperature_LJN,Wind_Speed_LJN,Distance_travelled_LJN,S15,weather_code_BLM,Temperature_BLM,Wind_Speed_BLM,Distance_travelled_BLM,S16,weather_code_HRI,Temperature_HRI,Wind_Speed_HRI,Distance_travelled_HRI,S17,weather_code_SPN,Temperature_SPN,Wind_Speed_SPN,Distance_travelled_SPN,S18,weather_code_BE,Temperature_BE,Wind_Speed_BE,Distance_travelled_BE,S19,weather_code_RMU,Temperature_RMU,Wind_Speed_RMU,Distance_travelled_RMU,S20,weather_code_MB,Temperature_MB,Wind_Speed_MB,Distance_travelled_MB,S21,weather_code_AMRO,Temperature_AMRO,Wind_Speed_AMRO,Distance_travelled_AMRO,S22,weather_code_HPU,Temperature_HPU,Wind_Speed_HPU,Distance_travelled_HPU,S23,weather_code_MTC,Temperature_MTC,Wind_Speed_MTC,Distance_travelled_MTC,S24,weather_code_SC,Temperature_SC,Wind_Speed_SC,Distance_travelled_SC,S25,weather_code_WL,Temperature_WL,Wind_Speed_WL,Distance_travelled_WL,S26,weather_code_KMT,Temperature_KMT,Wind_Speed_KMT,Distance_travelled_KMT,S27,weather_code_BZA,Temperature_BZA,Wind_Speed_BZA,Distance_travelled_BZA,S28,weather_code_EE,Temperature_EE,Wind_Speed_EE,Distance_travelled_EE,S29,weather_code_RJY,Temperature_RJY,Wind_Speed_RJY,Distance_travelled_RJY,S30,weather_code_SLO,Temperature_SLO,Wind_Speed_SLO,Distance_travelled_SLO,S31,weather_code_AKP,Temperature_AKP,Wind_Speed_AKP,Distance_travelled_AKP,S32,weather_code_DVD,Temperature_DVD,Wind_Speed_DVD,Distance_travelled_DVD,S33,weather_code_VSKP,Temperature_VSKP,Wind_Speed_VSKP,Distance_travelled_VSKP,S34,weather_code_RKMP,Temperature_RKMP,Wind_Speed_RKMP,Distance_travelled_RKMP,S35,weather_code_BPL,Temperature_BPL,Wind_Speed_BPL,Distance_travelled_BPL,S36,weather_code_BINA,Temperature_BINA,Wind_Speed_BINA,Distance_travelled_BINA,S37,weather_code_LAR,Temperature_LAR,Wind_Speed_LAR,Distance_travelled_LAR,S38,weather_code_GWL,Temperature_GWL,Wind_Speed_GWL,Distance_travelled_GWL,S39,weather_code_MRA,Temperature_MRA,Wind_Speed_MRA,Distance_travelled_MRA,S40,weather_code_DHO,Temperature_DHO,Wind_Speed_DHO,Distance_travelled_DHO,S41,weather_code_AGC,Temperature_AGC,Wind_Speed_AGC,Distance_travelled_AGC,S42,weather_code_MTJ,Temperature_MTJ,Wind_Speed_MTJ,Distance_travelled_MTJ,S43,weather_code_NDLS,Temperature_NDLS,Wind_Speed_NDLS,Distance_travelled_NDLS,S44,weather_code_MMCT,Temperature_MMCT,Wind_Speed_MMCT,Distance_travelled_MMCT,S45,weather_code_BVI,Temperature_BVI,Wind_Speed_BVI,Distance_travelled_BVI,S46,weather_code_BL,Temperature_BL,Wind_Speed_BL,Distance_travelled_BL,S47,weather_code_ST,Temperature_ST,Wind_Speed_ST,Distance_travelled_ST,S48,weather_code_BH,Temperature_BH,Wind_Speed_BH,Distance_travelled_BH,S49,weather_code_BRC,Temperature_BRC,Wind_Speed_BRC,Distance_travelled_BRC,S50,weather_code_KOTA,Temperature_KOTA,Wind_Speed_KOTA,Distance_travelled_KOTA,S51,weather_code_SWM,Temperature_SWM,Wind_Speed_SWM,Distance_travelled_SWM,S52,weather_code_NZM,Temperature_NZM,Wind_Speed_NZM,Distance_travelled_NZM,S53,weather_code_HYB,Temperature_HYB,Wind_Speed_HYB,Distance_travelled_HYB,S54,weather_code_VKB,Temperature_VKB,Wind_Speed_VKB,Distance_travelled_VKB,S55,weather_code_TDU,Temperature_TDU,Wind_Speed_TDU,Distance_travelled_TDU,S56,weather_code_WADI,Temperature_WADI,Wind_Speed_WADI,Distance_travelled_WADI,S57,weather_code_KLBG,Temperature_KLBG,Wind_Speed_KLBG,Distance_travelled_KLBG,S58,weather_code_KWV,Temperature_KWV,Wind_Speed_KWV,Distance_travelled_KWV,S59,weather_code_PUNE,Temperature_PUNE,Wind_Speed_PUNE,Distance_travelled_PUNE,S60,weather_code_KYN,Temperature_KYN,Wind_Speed_KYN,Distance_travelled_KYN,S61,weather_code_DR,Temperature_DR,Wind_Speed_DR,Distance_travelled_DR,S62,weather_code_CSMT,Temperature_CSMT,Wind_Speed_CSMT,Distance_travelled_CSMT,S63,weather_code_MAS,Temperature_MAS,Wind_Speed_MAS,Distance_travelled_MAS,S64,weather_code_BAM,Temperature_BAM,Wind_Speed_BAM,Distance_travelled_BAM,S65,weather_code_BBS,Temperature_BBS,Wind_Speed_BBS,Distance_travelled_BBS,S66,weather_code_CTC,Temperature_CTC,Wind_Speed_CTC,Distance_travelled_CTC,S67,weather_code_BLS,Temperature_BLS,Wind_Speed_BLS,Distance_travelled_BLS,S68,weather_code_KGP,Temperature_KGP,Wind_Speed_KGP,Distance_travelled_KGP,S69,weather_code_SRC,Temperature_SRC,Wind_Speed_SRC,Distance_travelled_SRC,S70,weather_code_SHM,Temperature_SHM,Wind_Speed_SHM,Distance_travelled_SHM
05/11/23,4.0,63.0,22.268747,13.084402,,7.0,63.0,22.132248,13.084402,,29.0,61.0,24.247833,12.181625,,22.0,53.0,25.717165,10.97262,,16.0,61.0,25.251837,10.787993,,1.0,63.0,24.261335,13.979872,,12.0,53.0,23.847418,11.720751,,7.0,65.0,25.382416,9.220499,,14.0,65.0,25.359915,9.693296,,18.0,63.0,25.851748,9.957108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/23,1.0,65.0,22.34375,9.36,,4.0,65.0,22.20725,9.36,,26.0,63.0,25.058249,10.829958,,24.0,61.0,26.142166,9.220499,,25.0,65.0,26.133085,10.1887,,19.0,63.0,25.540503,8.647496,,25.0,55.0,24.553667,11.019764,,16.0,61.0,26.80533,7.5685663,,15.0,61.0,26.270334,9.585739,,18.0,63.0,26.54966,10.495713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/11/23,1.0,63.0,22.210417,16.327497,,4.0,63.0,22.073915,16.327497,,30.0,63.0,24.145754,11.183201,,21.0,63.0,25.28592,9.290511,,29.0,63.0,25.301832,11.592895,,20.0,63.0,25.10092,10.00256,,27.0,63.0,24.45575,10.948973,,22.0,63.0,26.288666,13.684735,,21.0,65.0,25.793251,9.422101,,25.0,65.0,26.239248,11.440979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/11/23,2.0,65.0,22.368752,13.570615,,6.0,65.0,22.232248,13.570615,,29.0,53.0,24.093668,18.014393,,14.0,63.0,24.756752,10.296251,,30.0,55.0,25.0935,11.609651,,25.0,63.0,24.79883,8.707237,,21.0,63.0,24.222414,12.224107,,11.0,63.0,26.184504,14.003028,,14.0,63.0,25.814085,10.24578,,16.0,65.0,26.028831,8.373386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/11/23,2.0,63.0,22.172915,17.31746,,3.0,63.0,22.03642,17.31746,,31.0,61.0,24.187414,15.1884165,,26.0,63.0,24.708834,9.227524,,29.0,65.0,24.880997,9.746631,,20.0,61.0,24.909254,9.3876505,,33.0,63.0,24.276579,12.538134,,26.0,53.0,25.70533,10.495713,,15.0,53.0,25.405748,11.090103,,15.0,55.0,26.024664,9.449572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/23,2.0,51.0,22.475,18.416384,,8.0,51.0,22.338501,18.416384,,35.0,51.0,24.460335,16.700275,,49.0,61.0,25.437998,7.42159,,43.0,51.0,25.743502,13.608762,,32.0,61.0,25.173838,12.181624,,38.0,61.0,24.320333,17.148247,,24.0,61.0,26.842834,20.46941,,14.0,65.0,25.657835,9.422101,,18.0,61.0,26.237165,11.792404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/23,0.0,3.0,21.65625,18.511143,,2.0,3.0,21.519753,18.511143,,38.0,3.0,23.84992,16.676977,,66.0,51.0,24.627584,7.928177,,60.0,51.0,26.172663,12.229406,,45.0,53.0,25.317583,14.021525,,50.0,61.0,24.670334,16.08761,,43.0,53.0,27.442833,19.130875,,26.0,63.0,26.52867,10.233123,,27.0,53.0,27.195498,10.587917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/23,2.0,3.0,21.260414,21.313093,,4.0,3.0,21.123919,21.313093,,26.0,3.0,23.593668,15.509274,,13.0,3.0,24.060915,6.439876,,17.0,3.0,25.358084,13.202726,,3.0,3.0,24.903,14.186923,,6.0,3.0,23.872414,15.124284,,1.0,3.0,26.894915,20.326454,,17.0,3.0,26.241167,10.805998,,22.0,3.0,26.953829,13.202726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/23,1.0,3.0,21.816666,21.41319,,3.0,3.0,21.680168,21.41319,,23.0,53.0,24.797834,16.071491,,20.0,61.0,25.523417,9.021574,,14.0,61.0,26.32475,12.371645,,7.0,3.0,25.665504,11.269782,,16.0,3.0,24.48075,14.529915,,0.0,3.0,26.661585,19.652176,,19.0,3.0,26.287003,14.186923,,19.0,3.0,27.089249,15.021105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/11/23,2.0,51.0,20.922916,19.13426,,6.0,51.0,20.786417,19.13426,,39.0,61.0,22.558252,15.778516,,20.0,61.0,23.667168,13.324863,,38.0,63.0,23.933083,15.978486,,26.0,3.0,24.436338,16.418526,,26.0,3.0,23.561998,17.727943,,9.0,3.0,27.503244,17.414474,,14.0,51.0,26.145332,7.754637,,19.0,53.0,26.341333,11.440979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/23,4.0,53.0,21.99375,15.629971,,6.0,53.0,21.857254,15.629971,,28.0,3.0,24.26867,17.148247,,14.0,3.0,25.517168,10.805998,,18.0,3.0,25.933083,13.32,,3.0,51.0,26.025917,10.182337,,3.0,3.0,24.797415,12.10157,,1.0,3.0,27.355331,14.654254,,17.0,53.0,26.059916,15.124284,,23.0,55.0,26.224665,13.202726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/11/23,4.0,3.0,23.347921,14.973577,,7.0,3.0,23.21142,14.973577,,28.0,51.0,25.47492,14.345898,,17.0,51.0,26.246336,14.578888,,14.0,51.0,26.81642,12.261158,,2.0,53.0,26.71758,11.480557,,5.0,61.0,25.637001,13.854155,,6.0,53.0,27.326164,12.879752,,18.0,61.0,26.278666,9.021574,,20.0,53.0,26.705915,10.538843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/11/23,2.0,3.0,23.53333,15.716793,,5.0,3.0,23.396835,15.716793,,28.0,3.0,25.204084,13.797912,,26.0,51.0,26.902582,8.647496,,22.0,51.0,27.485168,13.910169,,12.0,51.0,27.227999,9.826088,,18.0,51.0,25.98075,13.979872,,10.0,61.0,27.213663,10.464797,,19.0,63.0,26.8495,9.220499,,28.0,53.0,27.193415,10.483357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/11/23,3.0,3.0,23.285418,16.24394,,6.0,3.0,23.148918,16.24394,,35.0,3.0,25.326998,14.512064,,29.0,51.0,26.213003,10.799999,,25.0,3.0,27.410166,13.755579,,16.0,51.0,26.963415,15.192682,,20.0,51.0,25.6495,18.733839,,14.0,55.0,26.3095,9.178235,,15.0,61.0,26.016165,11.966954,,23.0,63.0,26.497581,10.365251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/23,3.0,3.0,22.708334,19.35314,,5.0,3.0,22.571836,19.35314,,27.0,3.0,25.056166,18.014393,,26.0,3.0,26.183832,13.1041975,,27.0,3.0,26.945585,16.520823,,17.0,3.0,26.694666,11.609651,,18.0,3.0,25.664083,15.778516,,5.0,3.0,27.261581,19.242327,,14.0,51.0,26.303667,11.480557,,27.0,3.0,26.574667,10.8955765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/11/23,2.0,51.0,22.485413,18.875126,,5.0,51.0,22.34892,18.875126,,25.0,51.0,24.406166,15.072783,,20.0,53.0,26.338,12.287555,,11.0,51.0,27.124748,13.905509,,3.0,3.0,27.463417,14.277983,,23.0,3.0,25.991167,14.264361,,12.0,3.0,27.244917,14.480773,,15.0,3.0,26.59533,8.669949,,23.0,51.0,27.116335,11.592894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/23,1.0,55.0,22.891668,19.681828,,4.0,55.0,22.755167,19.681828,,19.0,53.0,25.062418,16.946787,,23.0,63.0,26.862999,12.371645,,6.0,61.0,27.374746,14.973576,,0.0,63.0,27.57592,13.276144,,10.0,63.0,26.139082,13.608762,,6.0,63.0,27.89908,11.808878,,12.0,63.0,27.2245,12.682018,,27.0,63.0,27.649664,11.043261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/11/23,2.0,53.0,22.991663,14.044615,,4.0,53.0,22.85517,14.044615,,33.0,61.0,24.33117,13.397612,,27.0,65.0,25.250502,15.281989,,24.0,65.0,25.222666,16.610792,,12.0,65.0,25.703003,9.726664,,12.0,65.0,24.543251,11.879999,,10.0,65.0,25.832415,10.594036,,12.0,65.0,25.262,10.44,,33.0,65.0,25.62883,13.009903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/23,0.0,63.0,22.008337,16.704155,,8.0,63.0,21.871836,16.704155,,29.0,53.0,23.749916,12.10157,,19.0,61.0,24.683838,12.7279215,,20.0,63.0,24.4185,9.726664,,8.0,63.0,24.103003,11.304229,,9.0,61.0,23.470331,13.527572,,8.0,51.0,26.11783,10.315115,,17.0,63.0,25.02867,6.9247384,,29.0,63.0,25.641333,7.968939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/11/23,4.0,63.0,22.164581,18.532133,,5.0,63.0,22.028086,18.532133,,30.0,63.0,23.935333,13.797913,,30.0,51.0,25.496336,13.281023,,36.0,61.0,25.941416,9.659814,,27.0,51.0,25.846748,11.928989,,17.0,51.0,24.795334,16.93531,,10.0,63.0,26.721998,15.893093,,11.0,63.0,26.026579,8.766573,,21.0,65.0,26.460083,8.350138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/11/23,1.0,53.0,22.310417,21.96,,2.0,53.0,22.173918,21.96,,22.0,61.0,23.591583,19.110542,,16.0,63.0,25.492167,14.372974,,10.0,55.0,25.433083,14.33234,,2.0,65.0,24.377996,14.291592,,3.0,63.0,23.739082,15.546833,,0.0,63.0,27.09075,20.176065,,15.0,63.0,26.130745,10.661107,,28.0,61.0,26.518415,10.1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
